max_depth,max_leaf_nodes,min_samples_split,f1_score
,,2.0,0.3538461538461538
,,4.0,0.32421875
,,8.0,0.33535353535353535
,,16.0,0.33474576271186446
,,32.0,0.39908256880733944
,,64.0,0.39328537170263794
,2.0,2.0,0.0
,2.0,4.0,0.0
,2.0,8.0,0.0
,2.0,16.0,0.0
,2.0,32.0,0.0
,2.0,64.0,0.0
,4.0,2.0,0.0
,4.0,4.0,0.0
,4.0,8.0,0.0
,4.0,16.0,0.0
,4.0,32.0,0.0
,4.0,64.0,0.0
,8.0,2.0,0.08270676691729323
,8.0,4.0,0.08270676691729323
,8.0,8.0,0.08270676691729323
,8.0,16.0,0.08270676691729323
,8.0,32.0,0.08270676691729323
,8.0,64.0,0.08270676691729323
,16.0,2.0,0.17777777777777778
,16.0,4.0,0.17777777777777778
,16.0,8.0,0.17777777777777778
,16.0,16.0,0.17777777777777778
,16.0,32.0,0.17777777777777778
,16.0,64.0,0.17777777777777778
8.0,,2.0,0.2768361581920904
8.0,,4.0,0.2849002849002849
8.0,,8.0,0.2922636103151862
8.0,,16.0,0.2890855457227138
8.0,,32.0,0.2598187311178248
8.0,,64.0,0.27089337175792505
8.0,2.0,2.0,0.0
8.0,2.0,4.0,0.0
8.0,2.0,8.0,0.0
8.0,2.0,16.0,0.0
8.0,2.0,32.0,0.0
8.0,2.0,64.0,0.0
8.0,4.0,2.0,0.0
8.0,4.0,4.0,0.0
8.0,4.0,8.0,0.0
8.0,4.0,16.0,0.0
8.0,4.0,32.0,0.0
8.0,4.0,64.0,0.0
8.0,8.0,2.0,0.08270676691729323
8.0,8.0,4.0,0.08270676691729323
8.0,8.0,8.0,0.08270676691729323
8.0,8.0,16.0,0.08270676691729323
8.0,8.0,32.0,0.08270676691729323
8.0,8.0,64.0,0.08270676691729323
8.0,16.0,2.0,0.17777777777777778
8.0,16.0,4.0,0.17777777777777778
8.0,16.0,8.0,0.17777777777777778
8.0,16.0,16.0,0.17777777777777778
8.0,16.0,32.0,0.17777777777777778
8.0,16.0,64.0,0.17777777777777778
4.0,,2.0,0.11643835616438357
4.0,,4.0,0.11643835616438357
4.0,,8.0,0.11643835616438357
4.0,,16.0,0.11643835616438357
4.0,,32.0,0.11643835616438357
4.0,,64.0,0.11643835616438357
4.0,2.0,2.0,0.0
4.0,2.0,4.0,0.0
4.0,2.0,8.0,0.0
4.0,2.0,16.0,0.0
4.0,2.0,32.0,0.0
4.0,2.0,64.0,0.0
4.0,4.0,2.0,0.0
4.0,4.0,4.0,0.0
4.0,4.0,8.0,0.0
4.0,4.0,16.0,0.0
4.0,4.0,32.0,0.0
4.0,4.0,64.0,0.0
4.0,8.0,2.0,0.0
4.0,8.0,4.0,0.0
4.0,8.0,8.0,0.0
4.0,8.0,16.0,0.0
4.0,8.0,32.0,0.0
4.0,8.0,64.0,0.0
4.0,16.0,2.0,0.11643835616438357
4.0,16.0,4.0,0.11643835616438357
4.0,16.0,8.0,0.11643835616438357
4.0,16.0,16.0,0.11643835616438357
4.0,16.0,32.0,0.11643835616438357
4.0,16.0,64.0,0.11643835616438357
2.0,,2.0,0.0
2.0,,4.0,0.0
2.0,,8.0,0.0
2.0,,16.0,0.0
2.0,,32.0,0.0
2.0,,64.0,0.0
2.0,2.0,2.0,0.0
2.0,2.0,4.0,0.0
2.0,2.0,8.0,0.0
2.0,2.0,16.0,0.0
2.0,2.0,32.0,0.0
2.0,2.0,64.0,0.0
2.0,4.0,2.0,0.0
2.0,4.0,4.0,0.0
2.0,4.0,8.0,0.0
2.0,4.0,16.0,0.0
2.0,4.0,32.0,0.0
2.0,4.0,64.0,0.0
2.0,8.0,2.0,0.0
2.0,8.0,4.0,0.0
2.0,8.0,8.0,0.0
2.0,8.0,16.0,0.0
2.0,8.0,32.0,0.0
2.0,8.0,64.0,0.0
2.0,16.0,2.0,0.0
2.0,16.0,4.0,0.0
2.0,16.0,8.0,0.0
2.0,16.0,16.0,0.0
2.0,16.0,32.0,0.0
2.0,16.0,64.0,0.0
1.0,,2.0,0.0
1.0,,4.0,0.0
1.0,,8.0,0.0
1.0,,16.0,0.0
1.0,,32.0,0.0
1.0,,64.0,0.0
1.0,2.0,2.0,0.0
1.0,2.0,4.0,0.0
1.0,2.0,8.0,0.0
1.0,2.0,16.0,0.0
1.0,2.0,32.0,0.0
1.0,2.0,64.0,0.0
1.0,4.0,2.0,0.0
1.0,4.0,4.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,16.0,0.0
1.0,4.0,32.0,0.0
1.0,4.0,64.0,0.0
1.0,8.0,2.0,0.0
1.0,8.0,4.0,0.0
1.0,8.0,8.0,0.0
1.0,8.0,16.0,0.0
1.0,8.0,32.0,0.0
1.0,8.0,64.0,0.0
1.0,16.0,2.0,0.0
1.0,16.0,4.0,0.0
1.0,16.0,8.0,0.0
1.0,16.0,16.0,0.0
1.0,16.0,32.0,0.0
1.0,16.0,64.0,0.0
