max_depth,max_leaf_nodes,bootstrap,f1_score
,,True,0.18831168831168832
,,False,0.2598187311178248
,16,True,0.016260162601626018
,16,False,0.03187250996015936
,8,True,0.0
,8,False,0.0
,4,True,0.0
,4,False,0.0
,2,True,0.0
,2,False,0.0
8,,True,0.0546875
8,,False,0.16370106761565836
8,16,True,0.00816326530612245
8,16,False,0.0242914979757085
8,8,True,0.0
8,8,False,0.0
8,4,True,0.0
8,4,False,0.0
8,2,True,0.0
8,2,False,0.0
4,,True,0.0
4,,False,0.0
4,16,True,0.00816326530612245
4,16,False,0.0
4,8,True,0.0
4,8,False,0.0
4,4,True,0.0
4,4,False,0.0
4,2,True,0.0
4,2,False,0.0
2,,True,0.0
2,,False,0.0
2,16,True,0.0
2,16,False,0.0
2,8,True,0.0
2,8,False,0.0
2,4,True,0.0
2,4,False,0.0
2,2,True,0.0
2,2,False,0.0
1,,True,0.0
1,,False,0.0
1,16,True,0.0
1,16,False,0.0
1,8,True,0.0
1,8,False,0.0
1,4,True,0.0
1,4,False,0.0
1,2,True,0.0
1,2,False,0.0
