max_depth,max_leaf_nodes,min_samples_split,f1_score
,,2.0,0.24375000000000002
,,4.0,0.2572347266881029
,,8.0,0.3164983164983165
,,16.0,0.23999999999999996
,,32.0,0.12307692307692308
,,64.0,0.08860759493670886
,2.0,2.0,0.0
,2.0,4.0,0.0
,2.0,8.0,0.0
,2.0,16.0,0.0
,2.0,32.0,0.0
,2.0,64.0,0.0
,4.0,2.0,0.0
,4.0,4.0,0.0
,4.0,8.0,0.0
,4.0,16.0,0.0
,4.0,32.0,0.0
,4.0,64.0,0.0
,8.0,2.0,0.0
,8.0,4.0,0.0
,8.0,8.0,0.0
,8.0,16.0,0.0
,8.0,32.0,0.0
,8.0,64.0,0.0
,16.0,2.0,0.028368794326241138
,16.0,4.0,0.028368794326241138
,16.0,8.0,0.028368794326241138
,16.0,16.0,0.028368794326241138
,16.0,32.0,0.027972027972027972
,16.0,64.0,0.028368794326241138
8.0,,2.0,0.10285714285714286
8.0,,4.0,0.11235955056179774
8.0,,8.0,0.16574585635359115
8.0,,16.0,0.1958762886597938
8.0,,32.0,0.14035087719298248
8.0,,64.0,0.1139240506329114
8.0,2.0,2.0,0.0
8.0,2.0,4.0,0.0
8.0,2.0,8.0,0.0
8.0,2.0,16.0,0.0
8.0,2.0,32.0,0.0
8.0,2.0,64.0,0.0
8.0,4.0,2.0,0.0
8.0,4.0,4.0,0.0
8.0,4.0,8.0,0.0
8.0,4.0,16.0,0.0
8.0,4.0,32.0,0.0
8.0,4.0,64.0,0.0
8.0,8.0,2.0,0.0
8.0,8.0,4.0,0.0
8.0,8.0,8.0,0.0
8.0,8.0,16.0,0.0
8.0,8.0,32.0,0.0
8.0,8.0,64.0,0.0
8.0,16.0,2.0,0.055172413793103454
8.0,16.0,4.0,0.055172413793103454
8.0,16.0,8.0,0.055172413793103454
8.0,16.0,16.0,0.055172413793103454
8.0,16.0,32.0,0.055172413793103454
8.0,16.0,64.0,0.055172413793103454
4.0,,2.0,0.0
4.0,,4.0,0.0
4.0,,8.0,0.0
4.0,,16.0,0.0
4.0,,32.0,0.0
4.0,,64.0,0.0
4.0,2.0,2.0,0.0
4.0,2.0,4.0,0.0
4.0,2.0,8.0,0.0
4.0,2.0,16.0,0.0
4.0,2.0,32.0,0.0
4.0,2.0,64.0,0.0
4.0,4.0,2.0,0.0
4.0,4.0,4.0,0.0
4.0,4.0,8.0,0.0
4.0,4.0,16.0,0.0
4.0,4.0,32.0,0.0
4.0,4.0,64.0,0.0
4.0,8.0,2.0,0.0
4.0,8.0,4.0,0.0
4.0,8.0,8.0,0.0
4.0,8.0,16.0,0.0
4.0,8.0,32.0,0.0
4.0,8.0,64.0,0.0
4.0,16.0,2.0,0.0
4.0,16.0,4.0,0.0
4.0,16.0,8.0,0.0
4.0,16.0,16.0,0.0
4.0,16.0,32.0,0.0
4.0,16.0,64.0,0.0
2.0,,2.0,0.0
2.0,,4.0,0.0
2.0,,8.0,0.0
2.0,,16.0,0.0
2.0,,32.0,0.0
2.0,,64.0,0.0
2.0,2.0,2.0,0.0
2.0,2.0,4.0,0.0
2.0,2.0,8.0,0.0
2.0,2.0,16.0,0.0
2.0,2.0,32.0,0.0
2.0,2.0,64.0,0.0
2.0,4.0,2.0,0.0
2.0,4.0,4.0,0.0
2.0,4.0,8.0,0.0
2.0,4.0,16.0,0.0
2.0,4.0,32.0,0.0
2.0,4.0,64.0,0.0
2.0,8.0,2.0,0.0
2.0,8.0,4.0,0.0
2.0,8.0,8.0,0.0
2.0,8.0,16.0,0.0
2.0,8.0,32.0,0.0
2.0,8.0,64.0,0.0
2.0,16.0,2.0,0.0
2.0,16.0,4.0,0.0
2.0,16.0,8.0,0.0
2.0,16.0,16.0,0.0
2.0,16.0,32.0,0.0
2.0,16.0,64.0,0.0
1.0,,2.0,0.0
1.0,,4.0,0.0
1.0,,8.0,0.0
1.0,,16.0,0.0
1.0,,32.0,0.0
1.0,,64.0,0.0
1.0,2.0,2.0,0.0
1.0,2.0,4.0,0.0
1.0,2.0,8.0,0.0
1.0,2.0,16.0,0.0
1.0,2.0,32.0,0.0
1.0,2.0,64.0,0.0
1.0,4.0,2.0,0.0
1.0,4.0,4.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,16.0,0.0
1.0,4.0,32.0,0.0
1.0,4.0,64.0,0.0
1.0,8.0,2.0,0.0
1.0,8.0,4.0,0.0
1.0,8.0,8.0,0.0
1.0,8.0,16.0,0.0
1.0,8.0,32.0,0.0
1.0,8.0,64.0,0.0
1.0,16.0,2.0,0.0
1.0,16.0,4.0,0.0
1.0,16.0,8.0,0.0
1.0,16.0,16.0,0.0
1.0,16.0,32.0,0.0
1.0,16.0,64.0,0.0
