max_depth,max_leaf_nodes,bootstrap,f1_score
,,True,0.05333333333333334
,,False,0.10062893081761005
,16,True,0.0
,16,False,0.0
,8,True,0.0
,8,False,0.0
,4,True,0.0
,4,False,0.0
,2,True,0.0
,2,False,0.0
8,,True,0.0
8,,False,0.0
8,16,True,0.0
8,16,False,0.0
8,8,True,0.0
8,8,False,0.0
8,4,True,0.0
8,4,False,0.0
8,2,True,0.0
8,2,False,0.0
4,,True,0.0
4,,False,0.0
4,16,True,0.0
4,16,False,0.0
4,8,True,0.0
4,8,False,0.0
4,4,True,0.0
4,4,False,0.0
4,2,True,0.0
4,2,False,0.0
2,,True,0.0
2,,False,0.0
2,16,True,0.0
2,16,False,0.0
2,8,True,0.0
2,8,False,0.0
2,4,True,0.0
2,4,False,0.0
2,2,True,0.0
2,2,False,0.0
1,,True,0.0
1,,False,0.0
1,16,True,0.0
1,16,False,0.0
1,8,True,0.0
1,8,False,0.0
1,4,True,0.0
1,4,False,0.0
1,2,True,0.0
1,2,False,0.0
