@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
2,2,3,1,20,0,10,10,1
2,2,3,1,14,0,8,6,0
0,0,0,0,0,0,0,0,0
2,2,2,1,9,0,9,0,0
1,1,1,1,12,0,3,8,0
1,1,1,1,10,0,3,6,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,2,1,20,0,12,7,0
1,1,1,1,8,0,6,1,0
1,1,2,1,14,0,7,6,0
1,1,1,1,10,0,4,6,0
1,1,2,1,15,0,8,7,0
2,2,2,1,16,0,11,4,0
2,2,3,1,19,0,10,8,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,8,0,3,4,0
1,1,1,1,8,0,3,4,0
1,1,1,1,5,0,2,2,0
0,0,0,0,0,0,0,0,0
2,2,3,1,20,0,12,7,0
1,1,1,1,12,0,5,6,0
1,1,1,1,2,0,2,0,0
5,5,5,2,32,1,22,8,0
1,1,1,1,11,0,5,5,0
5,5,7,1,34,1,20,13,0
1,1,1,1,16,0,6,9,1
1,1,1,1,10,0,3,6,0
1,1,1,1,15,0,5,9,0
2,2,2,1,15,0,11,4,0
2,2,2,1,18,0,7,10,0
2,2,2,1,14,0,8,6,0
0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,6,6,0
1,1,1,1,12,0,5,6,0
2,2,2,1,19,0,10,9,0
1,1,1,1,11,0,6,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,3,1,19,0,11,7,0
1,1,1,1,8,0,3,5,0
1,1,1,1,8,0,3,5,0
2,2,2,1,18,0,12,5,0
0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,6,5,0
0,0,0,0,0,0,0,0,0
1,1,2,1,7,0,3,4,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,3,4,0
19,19,22,1,92,0,87,5,0
0,0,0,0,0,0,0,0,0
1,1,1,1,14,0,6,8,0
1,1,1,1,9,0,3,5,0
0,0,0,0,0,0,0,0,0
4,4,4,3,26,0,16,8,0
2,2,2,1,16,0,8,7,0
1,1,1,1,14,0,7,6,0
2,2,2,1,15,0,8,6,0
2,1,2,1,12,0,8,3,0
2,2,2,2,14,0,8,6,0
